Name,Time_period,Type_Pre-human_host,Death_toll
Antonine Plague,165-180,Believed to be either smallpox or measles,5000000
Japan SP epidemic,735-737,Variola major virus,1000000
Plague of Justinian,541-542,"Yersinia pestis bacteria / Rats, fleas",30000000
Black Death,1347-1351,"Yersinia pestis bacteria / Rats, fleas",200000000
NW SP Outbreak,1520 – onwards,Variola major virus,56000000
Italian plague,1629-1631,"Yersinia pestis bacteria / Rats, fleas",1000000
Cholera Pan 1-6,1817-1923,V. cholerae bacteria,1000000
Third Plague,1885,"Yersinia pestis bacteria / Rats, fleas",12000000
Russian Flu,1889-1890,Believed to be H2N2 (avian origin),1000000
Spanish Flu,1918-1919,H1N1 virus / Pigs,50000000
Asian Flu,1957-1958,H2N2 virus,1100000
Hong Kong Flu,1968-1970,H3N2 virus,1000000
HIV/AIDS,1981-present,Virus / Chimpanzees,35000000
COVID-19,2019-Present,Coronavirus – Unknown (possibly pangolins),6200000
